adult,belongs_to_collection,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count
0,0.0,30000000,0.0,0.0,21.946943,0.0,0.0,1995.0,373554033.0,81.0,0.0,7.7,5415.0
0,0.0066844919786096255,65000000,0.003289473684210526,0.0,17.015539,0.0009013881377321074,0.0,1995.0,262797249.0,104.0,0.006775067750677507,6.9,2413.0
0,0.0066844919786096255,16000000,0.006578947368421052,0.0,3.859495,0.0018027762754642149,0.0,1995.0,81452156.0,127.0,0.0,6.1,34.0
0,0.013368983957219251,0,0.009868421052631578,0.0,8.387519,0.0027041644131963224,0.0,1995.0,76578911.0,106.0,0.0,5.7,173.0
0,0.0066844919786096255,60000000,0.013157894736842105,0.0,17.924927,0.0036055525509284298,0.0,1995.0,187436818.0,170.0,0.013550135501355014,7.7,1886.0
0,0.0066844919786096255,35000000,0.01644736842105263,0.0,5.23158,0.0045069406886605375,0.0,1995.0,64350171.0,106.0,0.0,5.5,174.0
0,0.020053475935828877,58000000,0.019736842105263157,0.0,14.686036,0.005408328826392645,0.00764525993883792,1995.0,352194034.0,130.0,0.02032520325203252,6.6,1194.0
0,0.0066844919786096255,62000000,0.006578947368421052,0.0,6.318445,0.006309716964124752,0.0,1995.0,107879496.0,106.0,0.0,6.5,199.0
0,0.026737967914438502,0,0.023026315789473683,0.0,12.140733,0.0072111051018568595,0.0,1995.0,11348324.0,78.0,0.0,7.1,423.0
0,0.0066844919786096255,44000000,0.02631578947368421,0.0,5.092,0.008112493239588967,0.0,1995.0,13681765.0,192.0,0.0,7.1,72.0
0,0.0066844919786096255,98000000,0.029605263157894735,0.0,7.284477,0.009013881377321075,0.01529051987767584,1995.0,10017322.0,119.0,0.02710027100271003,5.7,137.0
0,0.0066844919786096255,52000000,0.03289473684210526,0.0,10.137389,0.009915269515053182,0.022935779816513763,1995.0,116112375.0,178.0,0.0,7.8,1343.0
0,0.0066844919786096255,16500000,0.03618421052631579,0.0,10.673167,0.01081665765278529,0.00764525993883792,1995.0,135000000.0,136.0,0.0,7.2,364.0
0,0.0066844919786096255,4000000,0.039473684210526314,0.0,9.026586,0.011718045790517396,0.0,1995.0,4300000.0,98.0,0.0,6.5,539.0
0,0.03342245989304813,30000000,0.042763157894736836,0.0,8.205448,0.012619433928249504,0.0,1995.0,212385533.0,90.0,0.0,6.1,1128.0
0,0.0066844919786096255,60000000,0.046052631578947366,0.0,7.337906,0.01352082206598161,0.0,1995.0,35431113.0,103.0,0.0,5.4,224.0
0,0.040106951871657755,30250000,0.049342105263157895,0.0,12.669608,0.014422210203713719,0.0,1995.0,115101622.0,105.0,0.0,6.4,305.0
0,0.0066844919786096255,50000000,0.05263157894736842,0.0,11.065939,0.015323598341445827,0.022935779816513763,1995.0,30303072.0,132.0,0.03387533875338754,6.0,394.0
0,0.0066844919786096255,3600000,0.03618421052631579,0.0,10.332025,0.016224986479177934,0.0,1995.0,49800000.0,112.0,0.0,7.1,365.0
0,0.0066844919786096255,12000000,0.05592105263157894,0.0,8.681325,0.01712637461691004,0.0,1995.0,27400000.0,100.0,0.0,6.6,91.0
0,0.0066844919786096255,18000000,0.05921052631578947,0.11627906976744186,9.822423,0.01802776275464215,0.03058103975535168,1995.0,1738611.0,108.0,0.04065040650406504,7.6,308.0
0,0.0066844919786096255,0,0.03289473684210526,0.0,9.481338,0.018929150892374257,0.0,1995.0,180000000.0,99.0,0.0,6.4,249.0
0,0.0066844919786096255,29500000,0.0625,0.0,12.297305,0.019830539030106363,0.0,1995.0,168840000.0,129.0,0.006775067750677507,7.4,2470.0
0,0.04679144385026738,30000000,0.06578947368421052,0.0,14.404764,0.02073192716783847,0.0382262996941896,1995.0,254134910.0,89.0,0.0,6.0,756.0
0,0.0066844919786096255,11000000,0.06907894736842105,0.0,6.891317,0.02163331530557058,0.045871559633027525,1995.0,39363635.0,122.0,0.0,7.3,350.0
0,0.0066844919786096255,0,0.06907894736842105,0.0,0.894647,0.022534703443302686,0.053516819571865444,1995.0,676525.0,106.0,0.0,6.7,13.0
0,0.053475935828877004,18000000,0.07236842105263158,0.0,10.870138,0.023436091581034792,0.0,1995.0,122195920.0,101.0,0.0,5.4,452.0
0,0.0066844919786096255,20000000,0.0756578947368421,0.0,10.448481,0.024337479718766902,0.0,1995.0,21284514.0,106.0,0.0,6.7,177.0
0,0.0066844919786096255,10000000,0.03618421052631579,0.0,4.485958,0.02523886785649901,0.0,1995.0,23574130.0,116.0,0.0,6.5,38.0
0,0.0066844919786096255,33000000,0.07894736842105263,0.0,18.45743,0.026140255994231115,0.0,1995.0,327311859.0,127.0,0.0,8.1,5915.0
0,0.06016042780748663,55000000,0.08223684210526315,0.0,13.280069,0.02704164413196322,0.0,1995.0,346079773.0,81.0,0.0,6.7,1509.0
0,0.0066844919786096255,6000000,0.08552631578947367,0.0,16.302466,0.02794303226969533,0.0,1995.0,23341568.0,106.0,0.04742547425474255,8.1,3334.0
0,0.0066844919786096255,15000000,0.08881578947368421,0.0,15.899134,0.028844420407427438,0.0,1995.0,6700000.0,95.0,0.0,6.7,145.0
0,0.0066844919786096255,0,0.006578947368421052,0.0,8.416802,0.029745808545159545,0.0,1995.0,17519169.0,103.0,0.013550135501355014,6.3,39.0
0,0.0066844919786096255,0,0.09210526315789473,0.0,7.137117,0.030647196682891654,0.0,1995.0,106269971.0,137.0,0.0,6.9,115.0
0,0.06684491978609626,0,0.09539473684210525,0.0,2.49535,0.01712637461691004,0.0,1996.0,2409225.0,92.0,0.05420054200542006,2.8,32.0
0,0.07352941176470588,3500000,0.009868421052631578,0.0,14.56965,0.01712637461691004,0.0,1995.0,28215918.0,91.0,0.0,7.0,513.0
0,0.08021390374331551,19000000,0.09868421052631579,0.0,15.339153,0.03154858482062376,0.0,1996.0,25836616.0,108.0,0.013550135501355014,6.9,1644.0
0,0.0066844919786096255,50000000,0.10197368421052631,0.0,5.912223,0.03244997295835587,0.0,1995.0,11534477.0,91.0,0.013550135501355014,4.1,54.0
0,0.0066844919786096255,0,0.006578947368421052,0.0,3.367276,0.033351361096087974,0.0,1995.0,718490.0,96.0,0.0,7.0,36.0
0,0.0066844919786096255,0,0.03618421052631579,0.0,10.412194,0.03425274923382008,0.0,1996.0,19030691.0,87.0,0.0,5.1,27.0
